target_year,kecamatan,produksi_ton,pred_xgb_produksi_ton,pred_persistence_produksi_ton,pred_rf_produksi_ton,pred_xgb_luas_panen_bersih_ha,pred_rf_luas_panen_bersih_ha,pred_xgb_yield_t_ha,pred_rf_yield_t_ha,pred_deep_produksi_ton,pred_hybrid_harvest_ha,pred_hybrid_yield_t_ha,pred_hybrid_agronomic_produksi_ton,prediksi_final_produksi_ton_v8
2022,JENGGAWAH,42013.0,44714.46,45265.0,43775.86642705889,6874.542,6919.173291548779,6.4637585,6.466787863116193,43509.664,6914.710186026714,6.466787863116193,44715.963907963465,44715.963907963465
2022,JOMBANG,48204.0,41889.71,35626.0,43062.198769991955,7355.2954,7755.882702501851,6.1855845,6.210368375480606,39848.04,7715.823973267291,6.210368375480606,47918.1091943543,47918.1091943543
2022,KALISAT,24524.0,24844.523,25570.0,24507.26857605712,4172.9155,4147.742864000828,5.9846096,5.925612048817291,25119.947,4150.260142542152,5.925612048817291,24592.83150637394,24592.83150637394
2022,KALIWATES,9264.0,9729.751,9188.0,8808.560043781594,1620.9448,1549.7041685129225,5.7869654,5.900167163725056,9051.308,1556.8282340835053,5.900167163725056,9185.546826299564,9185.546826299564
2022,KENCONG,45913.0,44695.87,48173.0,43951.45880356565,7308.1973,7366.611627662429,6.5028796,6.397815172165329,42599.254,7360.77022807978,6.397815172165329,47092.847444031664,47092.847444031664
2022,LEDOKOMBO,49880.0,48694.07,45020.0,50399.184615241735,8376.039,8325.66297138015,5.7235622,5.91486892310982,48082.484,8330.700617113229,5.91486892310982,49275.00218789484,49275.00218789484
2022,MAYANG,30490.0,29890.326,30476.0,30385.064392809658,5002.466,4989.1843846135125,6.0558214,5.946983706730864,27887.203,4990.512528183412,5.946983706730864,29678.496693343004,29678.496693343004
2022,MUMBULSARI,38163.0,35140.105,35187.0,36093.66039441435,6185.622,6229.413126076373,5.728798,5.8013819689010315,35041.617,6225.034008292955,5.8013819689010315,36113.80005150646,36113.80005150646
2022,PAKUSARI,19710.0,19703.254,20514.0,19899.18436588418,3325.3394,3336.8048459760466,5.9489317,5.891413521991416,20082.594,3335.6582969253172,5.891413521991416,19651.74239524867,19651.74239524867
2022,PANTI,36365.0,36090.496,36576.0,36560.60403789778,5943.4385,5974.6225764457995,6.0119176,6.048189143365148,35562.242,5971.504190871532,6.048189143365148,36116.786816788685,36116.786816788685
2022,PATRANG,20200.0,20186.578,19522.0,19747.402013951276,3303.652,3345.409873025589,5.799614,5.869396356465151,20285.662,3341.2340895804523,5.869396356465151,19611.02719148066,19611.02719148066
2022,PUGER,36316.0,37429.35,38677.0,37438.49006146865,5893.208,5907.596936683971,6.478078,6.530479601352851,38955.836,5906.158043796824,6.530479601352851,38570.04462738122,38570.04462738122
